organizations ,type,abbreviation,collaboration,foundingYear,verified,participation,address1,address2,city,state,zip,address1DC,address2DC,cityDC,stateDC,zipDC,lobby,scope,about,website,twitter,facebook,linkedIn,accounts,youTube
State Science & Technology Institute (SSTI),NGO,,,,,"COMPETES, Innovation Imperative",5015 Pine Creek Dr,,Westerville,OH,43081,,,,,,501(c)(3),Innovation & Competitiveness,"SSTI is a nonprofit dedicated to improving in initatives that support economic prosperity through science, technology, innovation and entreprenurship. SSTI is the most comprehensive resource available for those involved in technology-based economic development, SSTI offers the services that are needed to help build tech-based economies.",http://ssti.org/,https://twitter.com/ssti_org,https://www.facebook.com/ssti.org,https://www.linkedin.com/company/state-science-and-technology-institute,,
State University of New York System (SUNY),Universities,,,,,"CNSF, ESC, COMPETES, Innovation Imperative, AHGMR, CNSR",35 State St,,Albany,NY,12207,,,,,,501(c)(3),,"The nation’s largest and most comprehensive state university system, The State University of New York (SUNY), was founded at Potsdam, New York in 1816. ",https://www.suny.edu/,https://twitter.com/SUNY,https://www.facebook.com/generationsuny,https://www.linkedin.com/company/state-university-of-new-york,,
STEM Education Coalition,NGO,,,,,,"2000 M St, NW",Ste 520,Washington,DC,20036,,,,,,501(c)(4),STEM Education,"The STEM Education Coalition represents an alliance of 500+ business, professional, and education organizations and seeks to raise awareness in Congress, the Administration, and other organizations about the critical role STEM Education plays in U.S. competitiveness.",http://www.stemedcoalition.org/,https://twitter.com/stemedcoalition,,,,
Stevens Institute of Technology,Universities,,,,,CNSF,1 Castle Point Terr,,Hoboken,NJ,07030,,,,,,501(c)(3),,"Founded in 1870, technological innovation has been the hallmark and legacy of Stevens’ education and research programs for more than 140 years. Within the university’s three schools and one college, more than 6,100 undergraduate and graduate students collaborate with more than 350 faculty members in an interdisciplinary, student-centric, entrepreneurial environment to advance the frontiers of science and leverage technology to confront global challenges. ",http://www.stevens.edu/sit/,https://twitter.com/FollowStevens,https://www.facebook.com/Stevens1870,https://www.linkedin.com/company/stevens-institute-of-technology?trk=edu-cp-sa-cname,,https://www.youtube.com/user/EdwinAStevens70
Stillwater Chamber of Commerce,NGO,,,,,Innovation Imperative,409 S Main St,,Stillwater,OK,74074,,,,,,501(c)(6),,"The Stillwater Chamber of Commerce is a non-profit association of businesses, organizations and individuals interested in the economic growth and quality of life of our community. Our partners represent a broad cross section of the economy, and they provide the resources, ideas and initiative to make a positive impact in Stillwater and the surrounding area.",http://www.stillwaterchamber.org/,https://twitter.com/StwChamber,https://www.facebook.com/StillwaterChamber,https://www.linkedin.com/in/stillwater-chamber-of-commerce-a70bb17b,,
"Stony Brook University, SUNY Stony Brook",Universities,,,,,"InnovationP, CNSF, Innovation Imperative, COMPETES, AHGMR",,,Stony Brook,NY,11794,,,,,,501(c)(3),,"Stony Brook’s reach extends from its 1,039-acre campus on Long Island’s North Shore – encompassing the main academic areas, an 8,300-seat stadium and sports complex, a performing arts center, Stony Brook University Medical Center, the Health Sciences Center, and the Veterans Home – to Stony Brook Manhattan, a new Research and Development Park, three business incubators including one at Calverton, New York, and the Stony Brook Southampton campus on Long Island’s East End. Stony Brook also co-manages Brookhaven National Laboratory, joining Princeton, the University of Chicago, Stanford, and the University of California as the only major institutions involved in a research collaboration with a national lab.",http://www.stonybrook.edu/,https://twitter.com/stonybrooku,https://www.facebook.com/stonybrooku,,,https://www.youtube.com/stonybrook
Sturge-Weber Foundation,NGO,,,,,AHGMR,PO Box 418,, Mt Freedom,NJ,07970-0418,,,,,,501(c)(3),,The Sturge-Weber Foundation (The SWF) international mission is to improve the quality of life and care for people with Sturge-Weber syndrome and associated Port Wine Birthmark conditions. We support them with collaborative education and advocacy in tandem with translational research as we promote effective management and awareness.,http://www.sturge-weber.org/,https://twitter.com/sturgeweber,https://www.facebook.com/The-Sturge-Weber-Foundation-231991960556/,,,
Sucampo Pharmaceuticals ,Business,,,,,DDNC,805 King Farm Blvd,#550,Rockville,MD, 20850,,,,,,,,Developing New Medicines to Improve the lives of patients worldwide.,http://www.sucampo.com/,https://twitter.com/sucampo_pharma,,https://www.linkedin.com/company/sucampo-pharmaceuticals-inc.,,
Success For All Foundation ,NGO,,,,,FIES,300 E Joppa Rd Ste 500,,Towson,MD,21286-3006,,,,,,501(c)(3),Education,"Since 1987, at the Success for All Foundation, our mission is to develop and disseminate research-proven educational programs to ensure that all students, from all backgrounds, achieve at the highest levels. We have been transforming schools for more than two decades with a research-proven approach that has the best track record of any school-improvement program. 

Success for all was recently awarded a federal investing in innovation (i3) grant to scale up its proven approach for elementary schools, and we’re awarding $50,000 grants to qualifying schools to reduce start-up costs. Call us to find out more.",http://www.successforall.org/,https://twitter.com/SFAeducation,https://www.facebook.com/SuccessforAll/,,,
Sullivan Alliance to Transform the Health Professions,NGO,,,,,NIMHD,1729 King Street ,,Alexandria,VA,22314-2742,,,,,,501(c)(3),,"Starting in 2005, the Sullivan Alliance to Transform the Health Professions seeks to strengthen the capacity and quality of the nation’s health workforce by increasing the numbers of ethnic and racial minorities within the health professions. Alliance activities focus on the intersection of health, education and health workforce.",http://www.thesullivanalliance.org/,https://twitter.com/SullivanAllianc,http://www.facebook.com/SullivanAlliance,https://www.linkedin.com/company/the-sullivan-alliance-to-transform-the-health-professions,,https://www.youtube.com/user/SullivanAlliance
Supporters of Agricultural Research Foundation,NGO,,,,,Innovation Imperative,1235 S Clark St,Ste 510,Arlington,VA,22202,,,,,,501(c)(3),,Lives of Patients Worldwide,http://supportagresearch.org/,,,,,
Susan G Komen,NGO,,,,,RMR,5005 LBJ Freeway,Suite 250,Dallas,TX,75244,,,,,,501(c)(3),,"A force united by a promise to end breast cancer, funding groundbreaking research, community health & advocacy programs globally.",http://ww5.komen.org/,https://twitter.com/SusanGKomen,https://www.facebook.com/SusanGKomen,https://www.linkedin.com/company/susan-g--komen-for-the-cure,,https://www.youtube.com/user/KomenfortheCure
Sustainable Agriculture Coalition,NGO,,,,,"NCFAR, AFRI",110 Maryland Avenue NE,Suite 209,Washington,DC,20002,,,,,,501(c)(3),,"The National Sustainable Agriculture Coalition (NSAC) is a national alliance of family farm, food, conservation, rural, and urban organizations that advocate for the long-term social, economic, and environmental sustainability of ag & food systems.",http://sustainableagriculture.net/,https://twitter.com/sustainableag,https://www.facebook.com/sustainableag/,,,
Syracuse University,Universities,,,,,"Innovation Imperative, LEARN",900 S Crouse Ave,,Syracuse,NY,13210,,,,,,501(c)(3),,Syracuse University is dedicated to advancing knowledge and fostering student success through rigorous scholarship and transformative research. Founded 1870.,http://www.syr.edu/,https://twitter.com/SyracuseU,https://www.facebook.com/syracuseuniversity,,,https://www.youtube.com/user/Syracuse
TargetCancer Foundation,NGO,,,,,DCC,955 Massachusetts Ave,Suite 343,Cambridge,MA,02139-3233,,,,,,501(c)(3),,TargetCancer Foundation promotes the development of lifesaving treatment protocols for rare cancers.,http://www.targetcancerfoundation.org/,https://twitter.com/targetcancer,https://www.facebook.com/targetcancer,,,https://vimeo.com/targetcancer
TASH,NGO,,,,,CDCC,2013 H Street NW,Suite 404,Washington,DC,20006,,,,,,501(c)(3),,"TASH is an international leader in disability advocacy. Founded in 1975, TASH advocates for human rights and inclusion for people with significant disabilities and support needs – those most vulnerable to segregation, abuse, neglect and institutionalization.",https://tash.org/,https://twitter.com/tashtweet,https://www.facebook.com/TASHORG/,https://www.linkedin.com/company/tash-equity-opportunity-and-inclusion-for-people-with-disabilities-since-1975?trk=company_name,,https://www.youtube.com/channel/UCslYAM8X69mVrRWIfsv5LgQ
Teaching Institute for Excellence in STEM (TIES),NGO,,,,,Innovation Imperative,1228 Euclid Ave,Suite 1199 ,Cleveland,OH,44115,,,,,,501(c)(3),,"The Teaching Institute for Excellence in STEM (TIES) designs and engineers statewide systems of innovative STEM education networks focused on project-based learning in the disciplines of Science, Technology, Engineering and Mathematics. Partnering with communities, industry, business, K-12 and higher education, TIES creates a network-based infrastructure that connects innovative STEM schools where students excel and communities prosper. Founded 2002.",http://www.tiesteach.org/,https://twitter.com/TIESTeach,https://www.facebook.com/tiesteach,https://www.linkedin.com/company/teaching-institute-for-excellence-in-stem,,
TechAmerica,NGO,,,,,"TAP, TFAI, InnovationP(as AeA)",Not sure of location,,,,,,,,,,501(c)(3),,"The Computing Technology Industry Association (CompTIA) is the voice of the information technology industry. With approximately 2,000 member companies, 3,000 academic and training partners and nearly 2 million IT certifications issued, CompTIA is dedicated to advancing industry growth through educational programs, market research, networking events, professional certifications and public policy advocacy.",https://www.comptia.org/advocacy,,,https://www.linkedin.com/company/techamerica,,
